Borough,VM1,VM2,VM3,VM4,VM5,VM6,VM7,PU5,PO75,ENG,RENT,BAME,TEMP,VM1_q,VM2_q,VM3_q,VM4_q,VM5_q,VM6_q,PU5_q,PO75_q,ENG_q,RENT_q,BAME_q,TEMP_q,VM7_q,LSOA11CD,LSOA11NM,PM25_pct,NO2_pct,Poll_Index,Poll_q
Croydon,10.012437810945274,7.186000000000000,15.435580253601074,68.388038635253906,0.011502949128008,15.587702433868328,100,6.940000000000000,3.230000000000000,2.740000000000000,9.980000000000000,49.890000000000001,18.116822726254004,2,5,5,5,4,5,4,1,3,3,3,4,5.000,E01000975,Croydon 022A,0.986363636363636,0.995454545454545,0.990909090909091,5.000000000000000
Croydon,14.987834549878343,9.722000000000000,10.500559806823730,26.045089721679688,0.012067177871425,19.377270028865144,100,8.289999999999999,3.960000000000000,5.730000000000000,15.170000000000000,47.850000000000001,18.116822726254004,4,4,4,4,4,5,5,2,5,3,3,4,5.000,E01000976,Croydon 022B,0.640909090909091,0.659090909090909,0.650000000000000,4.000000000000000
Croydon,20.000000000000000,16.527999999999999,10.320010185241699,24.623619079589844,0.011813925260886,33.810385500400045,100,7.800000000000000,6.250000000000000,5.500000000000000,24.600000000000001,49.670000000000002,18.089786570449583,4,3,3,3,4,4,5,3,5,4,3,4,5.000,E01000977,Croydon 022C,0.440909090909091,0.409090909090909,0.425000000000000,3.000000000000000
Croydon,9.025069637883009,16.652999999999999,11.906949996948242,35.561500549316406,0.042141867561004,36.985235403084587,100,8.029999999999999,6.080000000000000,2.810000000000000,12.850000000000000,53.119999999999997,18.089786570449583,2,3,5,5,5,3,5,3,3,3,3,4,5.000,E01000978,Croydon 022D,0.918181818181818,0.922727272727273,0.920454545454545,5.000000000000000
Croydon,10.022650056625142,10.499000000000001,10.793359756469727,27.982070922851562,0.018484051665765,19.253952600365587,100,6.600000000000000,5.290000000000000,3.400000000000000,8.650000000000000,49.289999999999999,18.116822726254004,2,4,5,5,5,5,3,3,4,2,3,4,5.000,E01000979,Croydon 022E,0.800000000000000,0.800000000000000,0.800000000000000,5.000000000000000
Croydon,19.013524264120925,9.420000000000000,10.254480361938477,24.902280807495117,0.021055152549440,22.372007133459249,100,6.250000000000000,4.260000000000000,3.820000000000000,19.100000000000001,58.570000000000000,18.145519640480735,4,4,3,3,5,5,3,2,4,4,4,5,5.000,E01000980,Croydon 017A,0.413636363636364,0.431818181818182,0.422727272727273,3.000000000000000
Croydon,10.011312217194570,10.850000000000000,10.253700256347656,24.363180160522461,0.019277391499919,17.103044077347484,83,6.890000000000000,4.230000000000002,2.700000000000000,8.170000000000000,44.200000000000003,18.051326900933297,2,4,3,2,5,5,4,2,3,2,2,4,5.000,E01000981,Croydon 017B,0.409090909090909,0.381818181818182,0.395454545454546,2.000000000000000
Croydon,14.009661835748794,10.786000000000000,10.373909950256348,25.162359237670898,0.015015815622359,39.266721682005631,100,8.350000000000000,3.430000000000000,3.230000000000000,14.289999999999999,48.310000000000002,18.145519640480735,3,4,3,3,4,3,5,1,4,3,3,5,5.000,E01000982,Croydon 017C,0.472727272727273,0.463636363636364,0.468181818181818,3.000000000000000
Croydon,6.983568075117370,8.715000000000000,10.265390396118164,24.326700210571289,0.013157018235289,22.070864849642113,81,5.060000000000000,4.950000000000000,3.130000000000000,3.860000000000000,44.869999999999997,18.089786570449583,2,5,3,2,4,5,2,2,4,1,3,4,5.000,E01000983,Croydon 017D,0.418181818181818,0.377272727272727,0.397727272727273,3.000000000000000
Croydon,18.998923573735198,8.721000000000000,10.341839790344238,24.951669692993164,0.010912710051948,23.607708033610162,100,8.970000000000002,6.350000000000000,4.580000000000000,30.859999999999999,57.920000000000002,18.116822726254004,4,5,3,3,3,4,5,3,4,5,4,4,5.000,E01000984,Croydon 022F,0.450000000000000,0.436363636363636,0.443181818181818,3.000000000000000
