OA11CD,LSOA11CD,LAD11NM,LSOA11NM,POPDEN,AVHHOLDSZ,OA_Area,VM1_q,VM3_q,VM4_q,VM5_q,VM6_q,VM7_q,ENG_q,RENT_q,BAME_q,TEMP_q,Croydon_In,Cr_woodlan,Cr_greensp,Area_Canop,%_Canopy O,Education_,Nursing_5,Hospital_5,NationalRo,RegionalRo,RailBuffer,Station_5,Q_Industri,Q_woodland,Q_greenspa,Q_CanopyOu,MaxAvLST,MaxAvLST_q,Roads_comb,PU5_q,PO75_q,Poll_q,VM2_q,Basement_5,Roof_Count,Q_Roof_Cou,VM2,VM3,VM4,VM5,VM6,VM7,PU5,PU75,ENG,RENT,BAME,TEMP,Hosp_Count,Rail_Count,Nursing_Co,School_Cou,Adapt_A,Adapt_B,Adapt_C,Adapt_D,Adapt_E,Adapt_F,Adapt_G,Adapt_H,Adapt_I,Adapt_J,Adapt_K,Adapt_L,Adapt_M,Adapt_N,Adapt_O,Adapt_P,Adapt_Q,Adapt_R,Adapt_S,Adapt_T,Adapt_U
E00005372,E01001079,Croydon,Croydon 036B,66.3000,2.4000,42012.150,"5","1","1","2","5","5","1","5","2","1",0.000000000000000,0.000000000000000,0.000000000000000,4659.524,11.09,5,0,0,0,0,0,0,1,5,5,3,33.635654449462891,2,,"2","3","1","5",0,0,1,5.710000000000000,9.727346420288086,21.283349990844727,0.007044743657988,22.838178346240884,100.000000000000000,5.140000000000000,5.020000000000000,0.640000000000000,43.439999999999998,37.320000000000000,17.673853419317535,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00005520,E01001115,Croydon,Croydon 015B,126.1000,2.6000,34820.988,"5","3","3","4","2","5","5","5","5","5",0.000000000000000,0.000000000000000,0.181808027094584,2127.282,6.11,0,0,0,0,4,0,0,1,5,2,4,35.896375444200302,5,3,"5","2","3","3",5,2,3,13.092000000000001,10.445540428161623,25.527879714965820,0.014354400921397,47.259528760236591,100.000000000000000,7.530000000000000,4.950000000000000,5.950000000000000,39.320000000000000,78.349999999999994,18.186895559366071,0,0,0,0,29,19,24,16,25,12,17,12,17,15,17,14,16,13,10,13,22,22,17,17,12
E00004875,E01000981,Croydon,Croydon 017B,123.0000,2.8000,20432.935,"2","3","2","5","5","5","3","2","2","4",0.000000000000000,9.114816766741855,16.996209212558387,3186.326,15.59,0,0,0,0,0,0,0,1,1,1,2,35.432906341552737,4,,"4","2","2","4",0,1,2,10.850000000000000,10.253700256347656,24.363180160522461,0.019277391499919,17.103044077347484,83.000000000000000,6.890000000000000,4.230000000000002,2.700000000000000,8.170000000000000,44.200000000000003,18.051326900933297,0,0,0,0,25,21,23,12,23,10,12,11,13,8,10,15,15,12,9,11,17,17,13,13,8
E00005370,E01001076,Croydon,Croydon 036A,31.9000,2.8000,108699.614,"5","2","2","3","4","5","2","5","2","1",0.002189626349945,0.000000000000000,31.412810594137696,9627.725,8.86,5,0,0,0,0,0,0,5,5,1,3,32.343504769461497,1,,"4","2","2","5",0,4,4,6.890000000000000,9.987578392028809,23.427030563354492,0.009178396932552,30.075680417752992,99.000000000000000,7.330000000000000,4.090000000000000,1.620000000000000,33.740000000000002,38.890000000000001,17.811905560420467,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00005025,E01001009,Croydon,Croydon 019C,200.0000,3.4000,16500.854,"4","5","5","5","5","5","5","4","5","5",0.000000000000000,0.000000000000000,0.000000000000000,762.671,4.62,0,0,0,0,0,0,0,1,5,5,5,35.693415832519534,5,,"5","1","5","5",0,0,1,7.872000000000000,11.952139854431152,36.542301177978509,0.042958884194334,16.768646986084633,100.000000000000000,7.980000000000000,2.940000000000000,5.300000000000000,18.410000000000000,75.379999999999995,18.154664527831414,0,0,0,0,33,25,29,14,29,11,15,11,15,13,14,16,16,15,10,15,24,24,19,19,10
E00005373,E01001079,Croydon,Croydon 036B,39.3000,2.8000,97691.961,"5","1","1","2","5","5","1","5","2","1",39.808815727755018,0.000000000000000,0.000000000000000,3554.891,3.64,5,0,0,0,0,0,0,5,5,5,5,33.402067608303497,2,,"2","3","1","5",0,0,1,5.710000000000000,9.727346420288086,21.283349990844727,0.007044743657988,22.838178346240884,100.000000000000000,5.140000000000000,5.020000000000000,0.640000000000000,43.439999999999998,37.320000000000000,17.673853419317535,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00005375,E01001079,Croydon,Croydon 036B,62.2000,2.8000,55224.087,"5","1","1","2","5","5","1","5","2","1",55.308513403821571,0.483380220563005,0.228779748060400,5113.678,9.26,0,0,0,0,0,0,0,5,2,2,3,33.513680594308035,2,,"2","3","1","5",0,1,2,5.710000000000000,9.727346420288086,21.283349990844727,0.007044743657988,22.838178346240884,100.000000000000000,5.140000000000000,5.020000000000000,0.640000000000000,43.439999999999998,37.320000000000000,17.673853419317535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00005024,E01001006,Croydon,Croydon 016A,31.3000,2.8000,87793.047,"4","4","3","4","3","1","4","4","5","3",0.000000000000000,0.000000000000000,0.000000000000000,8887.046,10.12,0,0,0,0,0,0,0,1,5,5,3,36.453149968927555,5,,"4","1","4","5",0,0,1,4.919000000000000,10.652999877929688,25.671060562133789,0.014945984511626,40.134052876567182,6.000000000000000,7.010000000000000,2.300000000000000,3.680000000000000,29.520000000000000,71.010000000000005,18.000424878230881,0,0,0,0,25,17,21,11,20,10,14,10,14,13,13,13,14,10,8,12,21,21,17,17,10
E00005374,E01001078,Croydon,Croydon 032D,78.2000,3.0000,53324.627,"5","1","1","4","1","2","3","5","2","5",1.161659271618811,57.759933183353098,0.200481167864432,9903.085,18.57,0,0,0,0,0,0,0,5,1,2,2,32.507583300272621,1,,"2","3","1","5",0,2,3,5.805000000000000,9.701908111572266,21.482120513916016,0.012383651693343,59.678248786544039,30.000000000000000,5.260000000000000,5.540000000000000,2.060000000000000,44.200000000000003,35.869999999999997,18.143687733071893,0,0,0,0,19,9,14,10,15,6,11,8,13,11,15,7,10,7,2,3,13,13,11,11,9
E00005377,E01001080,Croydon,Croydon 036C,57.0000,2.3000,67163.074,"5","2","2","3","4","1","2","5","2","1",0.000000000000000,0.000000000000000,35.020745449022591,8735.381,13.01,0,0,0,0,0,0,0,1,5,1,3,32.007487557151101,1,,"3","5","2","4",0,12,5,10.064000000000000,10.090430259704590,23.780929565429688,0.010429895405840,31.035591157463017,0.000000000000000,5.860000000000000,9.359999999999999,1.680000000000000,72.790000000000006,37.729999999999997,17.585346265573666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
